,sale_id,customer_id,product_id,product_name,category,price,quantity,sale_date,total_value,age,gender,region,segment,churn,tenure_months,last_purchase_date,feedback_text,sentiment
0,S000001,CUST01553,P004,Desk,Furniture,12000,2,2020-01-07,24000,40,Female,West,Small Business,1,37,2023-04-04,"Terrible experience, will not buy again.",Negative
1,S000002,CUST00161,P010,Projector,Electronics,45000,2,2023-11-10,90000,50,Female,West,Corporate,0,44,2023-03-02,Excellent customer service.,Positive
2,S000003,CUST00627,P010,Projector,Electronics,45000,4,2022-07-04,180000,33,Male,South,Corporate,0,25,2023-11-04,Product quality could be better.,Neutral
3,S000004,CUST01291,P009,Monitor,Electronics,12000,1,2023-10-18,12000,41,Male,West,Consumer,0,56,2023-08-18,"Delivery was late, not happy.",Positive
4,S000005,CUST01456,P004,Desk,Furniture,12000,4,2023-09-13,48000,60,Female,West,Consumer,0,52,2023-05-14,"Delivery was late, not happy.",Positive
5,S000006,CUST00634,P007,Pen Pack,Office Supplies,50,5,2022-10-22,250,51,Female,South,Consumer,0,43,2023-11-14,Product quality could be better.,Neutral
6,S000007,CUST01463,P005,Printer,Electronics,15000,1,2022-05-07,15000,57,Male,South,Consumer,0,59,2023-01-18,Excellent customer service.,Positive
7,S000008,CUST00235,P010,Projector,Electronics,45000,3,2020-04-19,135000,35,Male,East,Corporate,1,35,2023-06-28,"Terrible experience, will not buy again.",Negative
8,S000009,CUST01822,P010,Projector,Electronics,45000,5,2023-01-14,225000,24,Female,South,Small Business,1,57,2023-05-26,Excellent customer service.,Positive
9,S000010,CUST01772,P002,Smartphone,Electronics,25000,2,2022-05-16,50000,53,Male,East,Consumer,0,11,2023-03-05,"Delivery was late, not happy.",Positive
10,S000011,CUST00366,P010,Projector,Electronics,45000,5,2020-06-26,225000,42,Male,West,Corporate,0,10,2023-04-19,Product quality could be better.,Neutral
11,S000012,CUST01896,P004,Desk,Furniture,12000,4,2021-08-21,48000,61,Male,East,Corporate,0,55,2023-11-07,"Worth the price, happy with the purchase.",Positive
12,S000013,CUST00283,P002,Smartphone,Electronics,25000,5,2022-03-12,125000,55,Female,West,Small Business,1,1,2023-12-21,"Great product, very satisfied.",Positive
13,S000014,CUST01895,P006,Notebook,Office Supplies,100,1,2023-11-05,100,54,Female,North,Corporate,1,31,2023-04-28,"Worth the price, happy with the purchase.",Positive
14,S000015,CUST00549,P004,Desk,Furniture,12000,1,2020-02-28,12000,28,Male,East,Consumer,0,20,2023-10-15,Excellent customer service.,Positive
15,S000016,CUST01921,P010,Projector,Electronics,45000,5,2023-11-02,225000,51,Male,South,Consumer,0,18,2023-08-26,"Great product, very satisfied.",Positive
16,S000017,CUST01430,P005,Printer,Electronics,15000,4,2022-10-31,60000,45,Female,South,Consumer,0,44,2023-08-06,"Met expectations, nothing special.",Neutral
17,S000018,CUST01020,P006,Notebook,Office Supplies,100,4,2021-03-18,400,49,Male,North,Small Business,0,9,2023-08-23,"Delivery was late, not happy.",Positive
18,S000019,CUST00379,P010,Projector,Electronics,45000,5,2020-05-21,225000,33,Female,East,Small Business,0,3,2023-03-20,"Terrible experience, will not buy again.",Negative
19,S000020,CUST00391,P001,Laptop,Electronics,70000,2,2021-04-14,140000,60,Female,West,Consumer,1,16,2023-04-11,Easy to use and reliable.,Neutral
20,S000021,CUST00485,P004,Desk,Furniture,12000,4,2020-12-23,48000,49,Female,East,Corporate,1,41,2023-08-15,Product quality could be better.,Neutral
21,S000022,CUST00055,P009,Monitor,Electronics,12000,1,2022-10-07,12000,32,Female,South,Small Business,0,14,2023-10-01,Excellent customer service.,Positive
22,S000023,CUST00429,P007,Pen Pack,Office Supplies,50,3,2020-08-28,150,46,Female,East,Small Business,0,44,2023-05-17,Product quality could be better.,Neutral
23,S000024,CUST01842,P010,Projector,Electronics,45000,4,2023-06-27,180000,46,Female,North,Corporate,1,30,2023-04-12,"Met expectations, nothing special.",Neutral
24,S000025,CUST01943,P005,Printer,Electronics,15000,4,2022-08-20,60000,48,Female,North,Corporate,0,25,2023-06-22,Easy to use and reliable.,Neutral
25,S000026,CUST01649,P009,Monitor,Electronics,12000,5,2020-12-05,60000,25,Male,East,Corporate,0,41,2023-07-04,"Great product, very satisfied.",Positive
